,id,Star_name,Radius,Mass,Distance
97,97,2MASSI J1010148-040649 [de],0.10070773999999999,0.048683988000000004,55.0
100,100,2MASS J10224821+5825453 [de],0.14489582999999998,0.025773876,60.0
101,101,2MASSW J1036530-344138 [de],0.09968010999999999,0.046774812,53.0
102,102,2MASS J1047538+212423 [de],0.09659721999999998,0.040092696000000004,34.4
103,103,Luhman 16B,0.10481826,0.041047284,6.516
104,104,Luhman 16A,0.10379063,0.03818352,6.516
105,105,DENIS-P J1058.7−1548,0.102763,0.061093632,49.0
106,106,TWA 28,0.24560357,0.034365168,180.0
107,107,Cha 110913-773444,0.18497339999999998,0.007636704,163.0
109,109,SDSS J111010.01+011613.1,0.12742612,0.008591292,63.0
110,110,2MASS J11145133−2618235,0.09865247999999999,0.031501404000000004,18.2
111,111,TWA 26,0.2260786,0.028637640000000002,137.0
113,113,2MASS J11544223-3400390 [de],0.1541445,0.035319756,129.0
114,114,2MASSW J1155395-372735 [de],0.102763,0.061093632,31.0
117,117,2MASS J12074836-3900043,0.17572473,0.016227996,217.0
118,118,2MASSI J1217110-031113 [de],0.09659721999999998,0.040092696000000004,36.0
121,121,2M 1237+6526,0.09659721999999998,0.039138108,45.6
123,123,TWA 29,0.205526,0.0238647,262.0
124,124,SDSSp J125453.90-012247.4 [de],0.10070773999999999,0.044865636,38.0
125,125,Kelu-1A,0.10070773999999999,0.060139044,61.0
126,126,Kelu-1B,0.10070773999999999,0.055366104,61.0
127,127,2MASS J13204427+0409045,0.10379063,0.063957396,101.0
128,128,SDSSp J132629.82-003831.5 [de],0.09968010999999999,0.048683988000000004,65.0
129,129,SDSSp J134646.45-003150.4 [de],0.09659721999999998,0.042001872,48.0
130,130,2MASS J13595510-4034582,0.102763,0.060139044,51.0
131,131,ULAS J141623.94+134836.3,0.09865247999999999,0.030546816,29.7
132,132,SDSS J141659.78+500626.4 [de],0.10173536999999999,0.056320692,149.0
133,133,DENIS-P J142527.97-365023.4 [de],0.13564716,0.020046348000000002,38.0
134,134,LHS 2924,0.10892878,0.072548688,38.5
135,135,2MASS J14392837+1929150,0.10584589,0.068730336,47.0
136,136,LSPM J1440+1339,0.12228796999999998,0.087822096,72.0
137,137,2MASS J14482563+1031590 [de],0.10173536999999999,0.056320692,47.0
138,138,CFBDSIR 1458+10A,0.1541445,0.0105959268,104.0
139,139,CFBDSIR 1458+10B,0.13359189999999999,0.008591292,104.0
140,140,TVLM 513-46546,0.10790115,0.07159410000000001,35.1
141,141,2MASS 1503+2525,0.09659721999999998,0.042001872,20.7
142,142,CFBDS J150411+102717,0.09659721999999998,0.042001872,71.0
143,143,2MASSW J1506544+132106 [de],0.10481826,0.065866572,46.0
144,144,2MASS 1507−1627,0.10173536999999999,0.057275280000000005,23.9
145,145,TVLM 868-110639,0.11098404,0.075412452,53.0
147,147,2MASSW J1515008+484742 [de],0.10173536999999999,0.054411516,34.0
148,148,2MASSI J1526140+204341 [de],0.10070773999999999,0.051547752,67.0
149,149,DENIS-P J153941.96-052042.4 [de],0.102763,0.060139044,51.0
150,150,2MASS J15462718-3325111 [de],0.09659721999999998,0.042001872,37.0
151,151,2MASSW J1552591+294849 [de],0.14695108999999998,0.028637640000000002,68.0
152,152,2MASSW J1555157-095605 [de],0.10584589,0.067775748,44.0
153,153,2MASS J16150413+1340079 [de],0.09659721999999998,0.040092696000000004,48.0
154,154,SDSSp J162414.37+002915.6 [de],0.09659721999999998,0.041047284,36.0
155,155,2MASS J16262034+3925190 [de],0.10584589,0.067775748,110.0
156,156,2MASSW J1632291+190441 [de],0.09968010999999999,0.046774812,50.0
157,157,WISEPA J164715.59+563208.2,0.09659721999999998,0.039138108,28.0
158,158,LSPM J1658+7027 [de],0.10687352,0.069684924,60.0
159,159,2MASSI J1726000+153819,0.14386819999999997,0.022910112,114.0
161,161,SDSSp J175032.96+175903.9,0.09968010999999999,0.044865636,90.0
162,162,2MASS J18283572-4849046,0.09762484999999999,0.04295646,39.0
163,163,LSR J1835+3259,0.10995641,0.073503276,18.5
164,164,2MASSW J1841086+311727,0.10379063,0.063957396,138.0
165,165,2MASS J18432213+4040209,0.12537086,0.091640448,46.0
166,166,2MASS J20004841-7523070,0.19319443999999997,0.0238647,105.0
167,167,SDSS J204749.61-071818.3,0.09865247999999999,0.043911048,65.0
168,168,2MASSI J2057540-025230,0.10481826,0.06682116,47.0
170,170,2MASSI J2104149-103736,0.10481826,0.065866572,62.0
171,171,PSO J318.5−22,0.15722739,0.0062048220000000005,80.0
172,172,HB 2124-4228,0.12434322999999999,0.089731272,113.0
173,173,2MASS J21392676+0220226,0.09865247999999999,0.043911048,32.1
